X_centroid,Y_centroid,phenotype,cell_region,Cell Area,Nucleus Area,CD20,CD21,CD23,CD35,BCL6,Ki67,CD3e,CD4,CD8a,FOXP3,PD1,CXCR5,CD68,CD163,CD11c,HLADR,CD138,CD56,MPO,CD31,CD34,PDPN,LYVE1,SMA,Vimentin
993.36,924.02,CD4 T cell,core,64.66,41.25,0.026,0.269,0.522,0.829,0.25,0.743,1.075,2.102,0.728,0.887,0.547,0.193,0.381,1.426,1.239,0.545,0.068,0.625,0.061,0.907,1.282,0.971,1.042,1.277,1.348
1020.31,966.84,FDC,core,93.03,15.15,1.459,3.159,0.17,0.257,0.183,0.306,0.275,0.044,1.244,0.804,1.103,1.003,1.207,0.009,0.687,0.415,1.412,0.885,1.133,0.153,0.433,0.019,0.543,0.505,0.578
1002.44,966.11,Tfh cell,core,37.76,15.78,1.216,0.924,0.896,0.019,1.248,1.367,0.169,0.751,1.028,1.275,2.134,1.473,1.332,1.018,1.475,0.489,0.244,0.048,1.351,1.303,0.494,0.162,0.131,1.171,1.232
964.54,924.51,Tfh cell,core,80.45,23.74,0.131,0.978,0.662,1.351,0.53,1.329,0.912,1.264,0.771,0.896,2.041,1.139,1.379,0.249,1.093,0.265,0.503,0.045,0.461,1.379,0.13,0.63,1.288,0.947,0.805
1064.15,966.83,B cell,core,82.21,31.54,4.483,0.111,1.412,0.142,0.141,0.299,1.434,1.414,0.757,1.443,0.878,0.932,1.024,1.066,0.335,0.139,0.557,1.451,0.896,1.092,1.15,0.713,0.903,0.128,1.316
1048.31,929.4,CD4 T cell,core,96.63,31.65,0.849,1.322,0.56,0.795,0.993,0.081,0.18,4.205,0.62,0.685,0.599,0.701,0.624,0.242,1.43,0.136,1.292,0.387,1.168,0.726,1.219,1.358,0.676,0.851,0.112
1057.42,987.5,Tingible-body macrophage,core,104.56,36.14,0.83,1.297,0.209,0.934,0.57,1.27,0.621,0.675,0.168,1.346,0.12,0.436,0.102,4.372,1.379,0.329,0.43,1.316,1.186,0.455,1.346,0.339,1.382,0.078,0.353
1053.0,960.82,GC B cell,core,37.17,25.3,0.651,0.066,0.132,1.309,3.091,0.082,1.351,0.161,0.917,0.639,0.395,0.233,0.862,0.799,0.667,1.468,1.406,0.982,0.286,0.075,0.324,0.376,1.041,1.303,1.464
1046.33,939.67,B cell,core,98.86,22.26,2.738,0.887,0.341,1.12,1.326,1.156,0.293,0.002,0.273,0.341,0.077,0.91,0.391,0.157,0.537,0.758,0.868,1.37,0.568,0.834,0.209,0.277,0.389,0.788,1.276
1005.23,967.53,GC B cell,core,45.67,21.17,0.517,1.284,1.022,0.974,4.92,0.31,1.011,1.04,0.387,0.847,0.028,0.797,0.03,0.489,0.221,0.868,0.483,0.241,0.039,1.427,1.023,0.484,0.751,0.996,1.184
976.22,967.99,Tfh cell,core,106.92,18.6,0.709,0.597,0.836,0.735,0.854,1.003,0.513,0.646,0.409,0.287,4.966,1.287,1.005,0.516,0.96,0.582,0.443,1.083,0.084,0.527,0.362,0.624,0.768,0.638,0.75
1016.09,1029.78,B cell,core,41.48,12.61,4.662,0.597,0.182,0.701,0.287,0.445,0.244,1.076,0.155,0.414,0.618,0.352,0.693,1.396,0.981,1.253,1.336,1.132,0.794,0.068,0.786,1.116,0.238,1.144,1.124
1030.51,953.71,GC B cell,core,97.75,13.92,0.378,1.463,0.914,0.073,2.358,1.273,0.002,1.282,0.629,0.787,0.348,0.275,0.233,0.903,1.41,1.44,0.792,1.171,1.121,0.359,1.2,1.121,1.279,1.482,0.253
967.62,965.51,GC B cell,core,34.9,28.43,0.065,0.786,0.874,0.32,2.763,1.413,1.258,0.115,0.134,0.078,0.19,0.468,0.451,0.723,0.411,1.074,0.298,0.148,0.359,0.934,0.735,0.241,0.397,0.295,0.475
1005.69,970.22,CD4 T cell,core,82.69,42.3,1.421,0.512,0.538,1.249,0.853,1.223,1.173,2.151,0.94,0.233,0.463,0.735,1.34,1.101,0.078,0.66,0.454,0.702,0.741,1.486,0.587,1.358,0.882,0.288,0.026
990.64,966.41,FDC,core,100.4,37.82,1.009,2.557,0.092,0.487,0.047,1.152,0.622,0.1,0.767,0.238,0.084,0.768,0.203,0.145,1.458,0.013,1.368,0.029,1.076,0.036,1.168,0.362,0.723,1.414,1.392
