parent,phenotype,CD20,BCL6,Ki67,CD21,CD35,CD138,CD3e,CD4,CD8a,FOXP3,PD1,CD68,CD163,CD11c,HLADR,CD56,MPO,CD31,CD34,PDPN,SMA,Vimentin
Immune,B cell,pos,,,,,,allneg,,,,,,,,,,,,,,,
B cell,GC B cell,pos,pos,pos,,,,,,,,,,,,,,,,,,,
B cell,Mantle B cell,pos,allneg,,,,,,,,,,,,,,,,,,,,
Immune,Plasma cell,,,,,,pos,,,,,,,,,,,,,,,,
Structural,FDC,,,,anypos,anypos,,,,,,,,,,,,,,,,,
Immune,T cell,,,,,,,pos,,,,,,,,,,,,,,,
T cell,CD4 T cell,,,,,,,pos,pos,allneg,,,,,,,,,,,,,
T cell,CD8 T cell,,,,,,,pos,allneg,pos,,,,,,,,,,,,,
T cell,Treg,,,,,,,pos,pos,,pos,,,,,,,,,,,,
T cell,Tfh cell,,,,,,,pos,pos,,,pos,,,,,,,,,,,
Immune,Macrophage,,,,,,,,,,,,pos,,,,,,,,,,
Macrophage,Tingible-body macrophage,,,,,,,,,,,,pos,pos,,,,,,,,,
Immune,Dendritic cell,,,,,,,,,,,,,,pos,pos,,,,,,,
Immune,NK cell,,,,,,,allneg,,,,,,,,,pos,,,,,,
Immune,Neutrophil,,,,,,,,,,,,,,,,,pos,,,,,
Structural,Endothelial,,,,,,,,,,,,,,,,,,anypos,anypos,,,
Structural,Lymphatic,,,,,,,,,,,,,,,,,,,,pos,,
Structural,Smooth muscle,,,,,,,,,,,,,,,,,,,,,pos,
Structural,Stromal,,,,,,,,,,,,,,,,,,,,,,pos
